"paper_id","conceito_extraido","termo_original","definicao_ou_achado","eixo_conceitual","tipo_ontologico","sugestao_owl","relacoes","instrumento_ou_metrica","prejuizo_ou_efeito","tipo_de_evidencia","suporte_no_artigo","observacoes"
"P004","Transposicao teorica inadequada","borrowed addiction criteria","Muitos estudos transpuseram criterios de substancias, jogo patologico ou internet addiction para PMPU sem fundamentacao teorica especifica para o fenomeno movel.","metodologia; instrumentos e metricas","lacuna_de_evidencia","EVIDENCE_LIMITATION: BorrowedCriteriaProblem candidateBroaderType ResearchLimitation","affects ProblematicMobilePhoneUseScale; concerns ConstructValidity","NA - nao aplicavel","NA - nao aplicavel","critica metodologica","Problematic Mobile Phone Use as a Behavioral Addiction; Toward a Pathway Model","Criterios de escala devem ser lidos como indicadores, nao diagnostico."
"P004","Caminho de reassurance excessiva","excessive reassurance pathway","Um caminho para PMPU envolve necessidade de manter relacoes e obter reassurance, associado a ansiedade, baixa autoestima, apego inseguro e instabilidade emocional.","autorregulacao; prejuizo e bem-estar digital","mecanismo_psicologico","PROPOSED_MECHANISM: ExcessiveReassurancePathway candidateBroaderType PsychologicalPathway","proposedMechanismFor ProblematicMobilePhoneUse; associatedWith Anxiety; associatedWith LowSelfEsteem; associatedWith InsecureAttachment","NA - nao aplicavel","ansiedade; baixa autoestima; dependencia relacional","modelo teorico baseado em literatura","Toward a Pathway Model of PMPU","Relacionar depois com FOMO e uso social. Revisao semantica 2026-05-24: pathway tratado como mecanismo proposto."
"P004","Caminho impulsivo-antissocial","impulsive-antisocial pathway","Um caminho para PMPU envolve baixo controle de impulsos, urgencia, falta de planejamento e baixo autocontrole, podendo gerar padroes aditivos, arriscados ou antissociais.","autorregulacao; compulsao","mecanismo_psicologico","PROPOSED_MECHANISM: ImpulsiveAntisocialPathway candidateBroaderType PsychologicalPathway","proposedMechanismFor ProblematicMobilePhoneUse; associatedWith Impulsivity; associatedWith LowSelfControl; candidateManifestation RiskyUse","NA - nao aplicavel","uso ao dirigir; sexting; cyberbullying; uso em locais proibidos","modelo teorico baseado em literatura","Toward a Pathway Model of PMPU","Importante para separar compulsao de risco/antissocialidade. Revisao semantica 2026-05-24: pathway tratado como mecanismo proposto."
"P004","Caminho de extraversao","extraversion pathway","Um caminho para PMPU envolve desejo constante de comunicacao, criacao de novas relacoes, busca de estimulacao e sensibilidade a recompensa.","compulsao; mecanismos digitais","mecanismo_psicologico","PROPOSED_MECHANISM: ExtraversionPathway candidateBroaderType PsychologicalPathway","proposedMechanismFor ProblematicMobilePhoneUse; associatedWith Extraversion; associatedWith RewardSensitivity; associatedWith SensationSeeking","NA - nao aplicavel","comunicacao excessiva; busca de estimulacao; uso arriscado","modelo teorico baseado em literatura","Toward a Pathway Model of PMPU","Ajuda a modelar motivacoes sem presumir patologia. Revisao semantica 2026-05-24: pathway tratado como mecanismo proposto."
"P004","Prejuizo funcional como criterio minimo","functional impairment","Para considerar um comportamento problematico como condicao psiquiatrica ou de saude publica, o artigo destaca a necessidade de prejuizo funcional tangivel em nivel individual, profissional ou pessoal.","prejuizo e bem-estar digital","criterio_conceitual","CANDIDATE_CRITERION: FunctionalImpairmentCriterion candidateBroaderType ProblematicUseCriterion","proposedMinimumCriterionFor PublicHealthConcern; proposedMinimumCriterionFor PsychiatricConditionCandidate; distinguishes ExcessiveUse from ProblematicUse","NA - nao aplicavel","prejuizo individual; profissional; pessoal; acidentes","artigo teorico de revisao","Conclusion","Criterio central para nao definir uso problematico apenas por tempo de tela. Revisao semantica 2026-05-24: criterio mantido como proposicao conceitual, nao regra diagnostica formal."
"P001","Smartphone Addiction Scale","Smartphone Addiction Scale (SAS)","A SAS foi desenvolvida como escala de autorrelato de 33 itens e 6 pontos para avaliar risco/severidade de smartphone addiction em adultos jovens, com alta consistencia interna no estudo inicial.","instrumentos e metricas","instrumento_psicometrico","INSTRUMENT: SmartphoneAddictionScale candidateBroaderType ProblematicSmartphoneUseScale","measures SmartphoneAddictionRisk; hasResponseScale LikertSixPoint; hasEvidence InternalConsistency","SAS; CronbachAlpha 0.967","NA - nao aplicavel","estudo de desenvolvimento e validacao de escala","Abstract; Materials and Methods; Discussion","Usar como instrumento fundador, mas com cautela pelo termo addiction."
"P001","Dimensoes da SAS","daily-life disturbance; positive anticipation; withdrawal; cyberspace-oriented relationship; overuse; tolerance","A versao final da SAS foi organizada em seis fatores: disturbio da vida diaria, antecipacao positiva, abstinencia, relacao orientada ao ciberespaco, uso excessivo e tolerancia.","instrumentos e metricas","dimensao_de_instrumento","SCALE_DIMENSION: SASDimension candidateBroaderType PsychometricDimension","partOf SmartphoneAddictionScale; includes DailyLifeDisturbance; includes PositiveAnticipation; includes Withdrawal; includes CyberspaceOrientedRelationship; includes Overuse; includes Tolerance","SAS","concentracao; sono; relacoes; sintomas fisicos","analise fatorial","Discussion; Table 2","Extrair cada dimensao como candidata, nao como criterio diagnostico definitivo."
"P001","Disturbio da vida diaria","daily-life disturbance","A dimensao inclui perda de tarefas planejadas, dificuldade de concentracao em aula/trabalho, sintomas fisicos e disturbio do sono associados ao uso do smartphone.","prejuizo e bem-estar digital","dimensao_de_prejuizo","CANDIDATE_HARM_DIMENSION: DailyLifeDisturbance candidateBroaderType FunctionalHarm","partOf SmartphoneAddictionScale; associatedWith ConcentrationDifficulty; associatedWith SleepDisturbance; associatedWith PhysicalDiscomfort","SAS","dificuldade de concentracao; sono; dores; tarefas perdidas","estudo de validacao de escala","Discussion","Boa ponte entre instrumento e prejuizo funcional."
"P001","Abstinencia subjetiva","withdrawal","A dimensao withdrawal descreve impaciencia, irritacao, pensamento constante no smartphone e dificuldade de abrir mao do uso quando impedido.","compulsao; autorregulacao","dimensao_psicologica","CANDIDATE_PSYCHOLOGICAL_DIMENSION: WithdrawalLikeSymptom candidateBroaderType PsychologicalFeature","partOf SmartphoneAddictionScale; relatedTo LossOfControl; relatedTo NegativeAffectWhenUnavailable","SAS","irritacao; impaciencia; preocupacao persistente","estudo de validacao de escala","Discussion","Tratar como sintoma semelhante a abstinencia, nao evidencia neurobiologica."
"P001","Antecipacao positiva","positive anticipation","A dimensao positive anticipation captura expectativas de excitacao, alivio de estresse e sensacao de vazio sem smartphone.","compulsao; bem-estar digital","dimensao_psicologica","CANDIDATE_PSYCHOLOGICAL_DIMENSION: PositiveAnticipation candidateBroaderType MotivationFeature","partOf SmartphoneAddictionScale; relatedTo MoodRegulation; relatedTo RewardExpectation","SAS","alivio de estresse; vazio subjetivo","estudo de validacao de escala","Discussion","Relacionar depois com reforco positivo/negativo em Elhai."
"P001","Limitacao da SAS inicial","weak theoretical base and standardization limitation","Os autores reconhecem base teorica ainda fraca, amostra limitada e necessidade de validar a escala considerando especificidades do telefone movel/smartphone.","metodologia; instrumentos e metricas","lacuna_de_evidencia","EVIDENCE_LIMITATION: SASInitialValidationLimitation candidateBroaderType ResearchLimitation","affects SmartphoneAddictionScale; concerns Generalizability; concerns ConstructValidity","SAS","NA - nao aplicavel","limitacao reconhecida pelos autores","Discussion","Importante para nao tomar a SAS como padrao-ouro."
"P001","Relacionamento orientado ao ciberespaco","cyberspace-oriented relationship","A dimensao cyberspace-oriented relationship captura centralidade de relacoes mediadas pelo smartphone/SNS e possivel deslocamento relativo de relacoes presenciais.","bem-estar digital; mecanismos digitais","dimensao_relacional","SCALE_DIMENSION: CyberspaceOrientedRelationship candidateBroaderType SocialBehaviorPattern","partOf SmartphoneAddictionScale; relatedTo SNSUse; associatedWith PotentialOfflineRelationshipDisplacement","SAS","deslocamento relacional; checagem social","analise fatorial","Table 2; Discussion","Eixo util para conectar redes sociais, pertencimento e retencao social. Revisao semantica 2026-05-24: deslocamento relacional tratado como associacao potencial."
"P001","Uso excessivo como dimensao","overuse","A dimensao overuse descreve uso prolongado ou dificil de interromper e urgencia de retomar o uso, mas deve ser separada da mera frequencia agregada de uso.","autorregulacao; uso problematico de smartphone","comportamento_observavel","CANDIDATE_BEHAVIOR_PATTERN: SmartphoneOveruse candidateBroaderType ProblematicSmartphoneUseFeature","partOf SmartphoneAddictionScale; relatedTo ProlongedUse; relatedTo UrgeToUse; associatedWith DailyLifeDisturbance","SAS","tempo excessivo; interferencia cotidiana","analise fatorial","Table 2; Discussion","Separar padrao de uso excessivo de tempo de tela isolado. Revisao semantica 2026-05-24: interferencia cotidiana tratada como associacao de dimensao, nao efeito necessario."
"P001","Tolerancia como falha de controle","tolerance","Na SAS, o fator tolerance aparece ligado a tentativas malsucedidas de reduzir uso e reconhecimento externo de uso excessivo, funcionando mais como falha de controle do que como tolerancia neurobiologica.","autorregulacao; compulsao","dimensao_psicologica","CANDIDATE_PSYCHOLOGICAL_DIMENSION: ControlFailure candidateBroaderType SelfRegulationFailure","partOf SmartphoneAddictionScale; overlapsWith Tolerance; hasIndicator FailedReductionAttempt; relatedTo ExcessiveUseFeedback","SAS","perda de controle percebida","analise fatorial","Table 2; Discussion","Usar termo tolerance com cautela ontologica."
"P001","Evidencia psicometrica da SAS","Cronbach alpha; concurrent validity","A SAS apresentou alta consistencia interna e validade concorrente com K-scale, Y-scale e VAS dos fatores na amostra inicial.","instrumentos e metricas","evidencia_psicometrica","EVIDENCE_STATEMENT: SASPsychometricEvidence candidateBroaderType PsychometricEvidence","supports SmartphoneAddictionScale; concerns InternalConsistency; concerns ConcurrentValidity","SAS; K-scale; Y-scale; VAS","NA - nao aplicavel","validacao psicometrica transversal","Results; Table 3","Evidencia valida escores na amostra, mas nao resolve status diagnostico do constructo."
"P002","SAS-SV","Smartphone Addiction Scale - Short Version","A SAS-SV foi desenvolvida como versao curta de 10 itens para triagem de smartphone addiction em adolescentes, visando uso comunitario e pesquisa.","instrumentos e metricas","instrumento_psicometrico","INSTRUMENT: SmartphoneAddictionScaleShortVersion candidateBroaderType ProblematicSmartphoneUseScale","shortVersionOf SmartphoneAddictionScale; measures SmartphoneAddictionRisk; designedFor Adolescents","SAS-SV; 10 items","NA - nao aplicavel","estudo de desenvolvimento e validacao de escala","Abstract; Introduction; Discussion","Instrumento pratico para triagem, nao diagnostico clinico isolado."
"P002","Populacao adolescente","adolescents","O estudo da SAS-SV foi conduzido com 540 estudantes de segundo ano do ensino fundamental coreano, media de idade 14,5 anos.","instrumentos e metricas","populacao_de_estudo","EVIDENCE_CONTEXT: AdolescentSample candidateBroaderType StudySample","usedInValidationOf SmartphoneAddictionScaleShortVersion","SAS-SV","NA - nao aplicavel","validacao de escala","Materials and Methods; Participants","Registrar limites culturais e etarios antes de generalizar."
"P002","Pontos de corte por genero","gender-specific cut-off values","A SAS-SV propos pontos de corte diferentes por genero: 31 para meninos e 33 para meninas, com bom desempenho ROC no estudo inicial.","instrumentos e metricas","parametro_de_instrumento","MEASUREMENT_PARAMETER: ScaleCutoff candidateBroaderType MeasurementThreshold","thresholdFor SmartphoneAddictionScaleShortVersion; variesBy Gender","SAS-SV; boys cutoff 31; girls cutoff 33","NA - nao aplicavel","validacao por ROC","Diagnostic Ability of the SAS-SV; Discussion","Nao transportar automaticamente para outras populacoes sem validacao."
"P002","Triagem preventiva","screening tool","Os autores enfatizam que a SAS-SV serve para identificar risco e grupos de alto risco, nao para diagnosticar patologicamente smartphone addiction em contexto clinico isolado.","instrumentos e metricas","uso_de_instrumento","INSTRUMENT_USE: ScreeningUse candidateBroaderType InstrumentUse","appliesTo SmartphoneAddictionScaleShortVersion; notEquivalentTo ClinicalDiagnosis","SAS-SV","prevencao; identificacao comunitaria","discussao de validacao","Discussion","Alinha com cautela do TCC sobre nao assumir diagnostico formal."
"P002","Limitacao de generalizacao","regional adolescent sample limitation","A validacao foi feita em regiao especifica e com controle demografico limitado, exigindo novas validacoes em amostras variadas.","metodologia; instrumentos e metricas","lacuna_de_evidencia","EVIDENCE_LIMITATION: SASSVValidationLimitation candidateBroaderType ResearchLimitation","affects SmartphoneAddictionScaleShortVersion; concerns Generalizability; concerns ClinicalUse","SAS-SV","NA - nao aplicavel","limitacao reconhecida pelos autores","Discussion","Registrar como restricao para uso ontologico de thresholds."
"P002","Cautela clinica da SAS-SV","not pathologically diagnose","A discussao indica que a SAS-SV distingue nivel de risco ou grupo de alto risco, mas seus achados nao devem ser usados como diagnostico patologico isolado.","metodologia; instrumentos e metricas","lacuna_de_evidencia","EVIDENCE_LIMITATION: SASSVClinicalUseLimitation candidateBroaderType ResearchLimitation","limits DiagnosticUse; appliesTo SmartphoneAddictionScaleShortVersion","SAS-SV","NA - nao aplicavel","limitacao metodologica declarada","Discussion; Limitations","Nao tratar pontuacao como diagnostico de addiction sem avaliacao clinica."
"P005","Uso problemático de smartphone e psicopatologia","problematic smartphone use and psychopathology","A revisao conceitual/sistematica analisou relacoes entre PSU e severidade de psicopatologia, destacando depressao, ansiedade, estresse cronico e autoestima.","uso problematico de smartphone; prejuizo e bem-estar digital","relacao_conceitual","CANDIDATE_CONCEPTUAL_RELATION: ProblematicSmartphoneUsePsychopathologyRelation candidateBroaderType AssociationFinding","associates ProblematicSmartphoneUse with DepressionSeverity; associates ProblematicSmartphoneUse with AnxietySeverity; associates ProblematicSmartphoneUse with Stress; noCausalDirectionAsserted","standardized PSU measures","depressao; ansiedade; estresse; autoestima","revisao sistematica","Abstract; Aims; Results","Associacao, nao causalidade."
"P005","Depressao associada a PSU","depression severity","A severidade de depressao aparece consistentemente relacionada a PSU, com efeitos ao menos medios antes de ajuste; efeitos ficam menores apos controle de variaveis relevantes.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: DepressionSeverityAssociation candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; evidenceStrength MediumEffectBeforeAdjustment; noCausalDirectionAsserted","NA - nao reportado na matriz atual","depressao","revisao sistematica de estudos correlacionais","Abstract; Results","Nao inferir direcao causal."
"P005","Ansiedade associada a PSU","anxiety severity","A ansiedade tambem aparece consistentemente relacionada a PSU, mas com efeitos pequenos na sintese de Elhai et al.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: AnxietySeverityAssociation candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; evidenceStrength SmallEffect; noCausalDirectionAsserted","NA - nao reportado na matriz atual","ansiedade","revisao sistematica de estudos correlacionais","Abstract; Results","Combinar com P004 reassurance pathway e P006 meta-analise."
"P005","Uso compensatorio","compensatory use","O artigo distingue uso compensatorio como motivacao de fuga de problemas/deveres ou evitacao de emocao negativa, sem equivaler automaticamente a uso problematico.","autorregulacao; bem-estar digital","mecanismo_psicologico","PROPOSED_MECHANISM: CompensatorySmartphoneUse candidateBroaderType SmartphoneUseMotivation","proposedMotivationFor ProblematicSmartphoneUse; aimsToAvoid NegativeAffect; aimsToEscape RealWorldProblems","NA - nao aplicavel","evitacao emocional; escape de deveres","revisao conceitual","Background; Addiction construct","Importante para diferenciar motivacao, padrao e prejuizo. Revisao semantica 2026-05-24: motivacao proposta, nao causa suficiente."
"P005","Habito de checagem","habitual checking","Notificacoes e alertas podem funcionar como pistas para checagem automatica, e a repeticao pode atuar como gateway para aumento de uso potencialmente problematico.","compulsao; mecanismos digitais","mecanismo_psicologico","PROPOSED_MECHANISM: HabitualChecking as habitual smartphone-use pattern/proposed mechanism","cueAssociatedWith NotificationCue; proposedMechanismFor IncreasedSmartphoneUse; relatedTo Automaticity","NA - nao aplicavel","checagem repetida; resposta a notificacoes","revisao conceitual","Background; causal pathways","Ponto forte para conectar Psicologia a mecanismos digitais. Revisao semantica 2026-05-24: notificacao tratada como pista associada, nao gatilho causal necessario."
"P005","FOMO como caminho de uso","fear of missing out","FoMO e descrito como relutancia em perder informacoes ou recompensas sociais, associada a necessidade de permanecer conectado e a overuse de tecnologia.","compulsao; bem-estar digital","mecanismo_psicologico","PROPOSED_MECHANISM: FearOfMissingOut candidateBroaderType PsychologicalFeature","proposedMotivationFor ProblematicSmartphoneUse; relatedTo SocialInformation; relatedTo PersistentConnectivity","NA - nao aplicavel","uso social; ansiedade social; conectividade persistente","revisao conceitual","Background; causal pathways","Candidato para classe/tecnica psicologica conectada a apps sociais. Revisao semantica 2026-05-24: motivacao proposta, nao causa suficiente."
"P005","Limitacao correlacional","correlational evidence limitation","A revisao incluiu apenas estudos correlacionais na sintese sistematica principal, portanto as relacoes com psicopatologia nao estabelecem causalidade.","metodologia","lacuna_de_evidencia","EVIDENCE_LIMITATION: CorrelationalEvidenceLimitation candidateBroaderType ResearchLimitation","limitsCausalInferenceFor MentalHealthAssociation","NA - nao aplicavel","NA - nao aplicavel","limitacao metodologica","Abstract; Limitations; Method","Usar em auditoria para evitar linguagem causal no TCC."
"P006","Prevalencia de PSU em jovens","prevalence of PSU amongst CYP","A revisao/meta-analise estimou mediana de prevalencia de PSU em criancas e jovens de 23,3 por cento, com intervalo interquartil de 14,0 a 31,2 por cento.","uso problematico de smartphone","achado_empirico","EVIDENCE_STATEMENT: ProblematicSmartphoneUsePrevalenceEstimate candidateBroaderType PrevalenceFinding","estimatedFor ChildrenAndYoungPeople; measuredBy ProblematicSmartphoneUseScale","SAS-SV; SAPS; other scales","NA - nao aplicavel","revisao sistematica e meta-analise GRADE","Abstract; Results; Estimating prevalence","Valor util como contexto, mas depende de definicoes e escalas heterogeneas."
"P006","Definicao operacional de PSU em jovens","PSU associated with dysfunctional use","O estudo definiu PSU como uso de smartphone associado a algum elemento de uso disfuncional, como ansiedade quando o telefone nao esta disponivel ou negligencia de outras atividades.","uso problematico de smartphone","definicao_operacional","OPERATIONAL_DEFINITION: ProblematicSmartphoneUse withCriteria DysfunctionalUseElement","includes AnxietyWhenUnavailable; includes NeglectOfOtherActivities; measuredBy SAS or MPPUS","SAS; MPPUS","NA - nao aplicavel","revisao sistematica","Methods; Problematic smartphone usage","Definicao operacional adequada para corpus central."
"P006","Depressao em jovens com PSU","depression odds","Em criancas e jovens com PSU, a meta-analise encontrou maior odds de depressao, com OR 3,17 e GRADE moderado para esse desfecho.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: DepressionAssociationFinding candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; hasOddsRatio 3.17; hasEvidenceQuality ModerateGRADE; noCausalDirectionAsserted","NA - nao reportado na matriz atual","depressao","meta-analise GRADE","Abstract; PSU associated with mental health outcomes; Depression","Associacao forte, mas ainda observacional."
"P006","Ansiedade em jovens com PSU","anxiety odds","A associacao entre PSU e ansiedade em criancas e jovens foi positiva; apos tratar heterogeneidade, o OR reportado foi 3,05 com GRADE baixo.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: AnxietyAssociationFinding candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; hasOddsRatio 3.05; hasEvidenceQuality LowGRADE; noCausalDirectionAsserted","NA - nao reportado na matriz atual","ansiedade","meta-analise GRADE","Abstract; Anxiety","Manter cautela pela heterogeneidade."
"P006","Estresse percebido em jovens com PSU","perceived stress odds","A meta-analise encontrou associacao entre PSU e estresse percebido, com OR 1,86 e GRADE baixo.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: PerceivedStressAssociationFinding candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; hasOddsRatio 1.86; hasEvidenceQuality LowGRADE; noCausalDirectionAsserted","NA - nao reportado na matriz atual","estresse percebido","meta-analise GRADE","Abstract; Stress","Relacionar com autorregulacao e uso compensatorio."
"P006","Sono ruim em jovens com PSU","poor sleep quality odds","A meta-analise encontrou associacao entre PSU e pior qualidade de sono, com OR 2,60 e GRADE baixo.","prejuizo e bem-estar digital","achado_empirico","EVIDENCE_STATEMENT: PoorSleepQualityAssociationFinding candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; hasOddsRatio 2.60; hasEvidenceQuality LowGRADE; noCausalDirectionAsserted","NA - nao reportado na matriz atual","sono ruim","meta-analise GRADE","Abstract; Sleep","Bom candidato de prejuizo funcional/saude."
"P006","Desempenho educacional","educational attainment","O estudo incluiu desempenho escolar como medida de prejuizo funcional; os resultados foram consistentes o suficiente para sintese narrativa, mas nao foram agrupados em meta-analise por variacao das medidas.","prejuizo e bem-estar digital","dimensao_de_prejuizo","CANDIDATE_HARM_DIMENSION: EducationalAttainmentAssociationFinding candidateBroaderType AssociationFinding","associatedWith ProblematicSmartphoneUse; evidenceType NarrativeSynthesis; noCausalDirectionAsserted","NA - nao aplicavel","desempenho escolar","revisao sistematica","Methods; Educational attainment","Relacionar com P008 futuramente."
